source_version,source_node_id,source_node_name,target_version,target_node_id,target_node_name,action,target_status,notes
classin-im-semantic-taxonomy-v2.1-candidate,L1-001,学习与学业内容,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-001,学习与学业内容,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-001,学科、技能与研究学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-001,学科、技能与研究学习,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-001,英语语言学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-001,英语语言学习,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-002,语文与中文学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-002,语文与中文学习,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-003,数学学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-003,数学学习,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-004,自然科学与工程学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-004,自然科学与工程学习,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-005,编程与计算学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-005,编程与计算学习,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-006,艺术技能学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-006,艺术技能学习,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-071,研究方法与学术项目学习,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-071,研究方法与学术项目能力,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-041,学习任务、计划与评价,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-041,学习任务、计划与评价,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-007,作业布置、完成与订正,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-007,作业布置、完成与订正,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-009,学习计划、复习与备考,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-009,学习计划、复习与备考,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-072,正式测评、考试与成绩,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-072,正式测评、考试与成绩,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-010,日常学习表现与反馈,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-010,日常学习表现与反馈,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-002,教学设计、实施与改进,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-002,教学设计、实施与改进,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-023,教学内容与资源,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-023,教学内容规划与资源,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-073,教材、教学资料与课件,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-073,教材、教学资料与课件,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-012,教学内容与课程进度,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-012,课程内容范围与教学进度,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-042,教学实施、评价与记录,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-042,教学方法、课堂规范与质量改进,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-014,教学方法与课堂活动设计,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-014,教学方法与课堂活动设计,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-074,课堂互动规范与参与要求,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-074,课堂互动规范与参与要求,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-015,教学质量评价与改进,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-015,教学质量评价与改进,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-003,课程运营与服务,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-003,课程运营与服务,preserve,active,ID 与语义连续。
