research_phase,window_id,topic_instance_id,adjudication_status,human_decision,effective_name,effective_description,effective_path_l1,effective_path_l2,effective_path_l3,effective_taxonomy_path,qualification,effective_message_count,message_share,evidence_message_count,evidence_message_ids,source_name,source_taxonomy_path
A,S1000-0001,STI-0adec9dc50ae441551d7,accepted,agree,8月19日迟到课程的扣罚处理,HR就Bell未按时进入8月19日课程联系她；双方随后讨论迟到、课程被移除、扣罚及电脑更新造成无法进入ClassIn的原因。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,21,0.21,21,1102227901|1102227903|1102227905|1102227907|1102227909|1102227911|1102227913|1102227915|1102227917|1102227919|1102227921|1102227923|1102227925|1102227927|1102227929|1102227931|1102227933|1102227935|1102227937|1102227939|1102227941,8月19日迟到课程的扣罚处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0001,STI-159e284220060c1d9583,accepted,agree,台风期间网络故障导致的请假与复课沟通,Bell与运营人员沟通台风期间网络故障造成的请假、课程无法进行、后续恢复连接及扣罚咨询。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,14,0.14,14,1089902947|1089902949|1089902951|1089902953|1089902957|1089902959|1089902961|1091146431|1091146433|1091146435|1091146437|1091146441|1091146445|1091146447,台风期间网络故障导致的请假与复课沟通,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0001,STI-2d96d0a1fe6d7c1ec214,corrected,problem,老师分享自己学生雅思口语取得好成绩&自己有成就感,Bell分享一名学生雅思口语达到目标分数，并称该学生将继续上课和准备大学面试。,学习与学业内容,学习任务与评价,测评与考试反馈,学习与学业内容 > 学习任务与评价 > 测评与考试反馈,short_candidate,3,0.03,3,1083970609|1083970611|1083970615,学生雅思口语成绩与后续面试安排,
A,S1000-0001,STI-942ce3a512635ce4380f,accepted,agree,8月24日至26日课程出勤与课时状态,Bell就误记开课时间、信号不稳定、学生等待入课和系统因课时不足移除课程等情况与工作人员沟通。,课程运营与服务,课程排期与出勤,到课与缺勤处理,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,standard,13,0.13,13,1108407051|1108407053|1108407055|1108407057|1108407059|1111036299|1111036301|1111036303|1111036305|1111036307|1111036309|1111036311|1111036313,8月24日至26日课程出勤与课时状态,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理
A,S1000-0001,STI-986db2c72246b782a673,accepted,agree,确认最新雅思教材文件,Bell询问教材文件，HR回复为最新版IELTS Teacher文件。,,,,,short_candidate,3,0.03,3,1087780197|1087780199|1087780201,确认最新雅思教材文件,
A,S1000-0001,STI-d1bb64bb723f74a50685,accepted,agree,课堂中学生音视频连接异常,Bell报告学生在课堂中出现连接和音频异常，随后确认课堂恢复正常。,数字平台与技术,数字技术与访问,连接与设备故障,数字平台与技术 > 数字技术与访问 > 连接与设备故障,standard,7,0.07,7,1092451831|1092451833|1092451835|1092451837|1092451839|1092451841|1092451843,课堂中学生音视频连接异常,数字平台与技术 > 数字技术与访问 > 连接与设备故障
A,S1000-0001,STI-d24070844d8f7317985e,accepted,agree,查找Let's Talk教材,Bell询问Let's Talk教材位置，HR建议在口语英语文件夹或搜索中查找，Bell随后确认已找到。,教学与课程内容,教学材料与实施,教学资料与课件,教学与课程内容 > 教学材料与实施 > 教学资料与课件,standard,6,0.06,6,1099647721|1099647723|1099647727|1099647729|1099647731|1099647733,查找Let's Talk教材,教学与课程内容 > 教学材料与实施 > 教学资料与课件
A,S1000-0001,STI-f2b296d99c9087b6fb81,accepted,agree,为初学儿童学生选择课程教材,Bell说明原学生的女儿Mini将上课且为初学者，并与HR确认使用Let's Go 0教材。,教学与课程内容,教学材料与实施,教材与材料选择,教学与课程内容 > 教学材料与实施 > 教材与材料选择,standard,14,0.14,14,1093777029|1093777031|1093777033|1093777035|1093777037|1093777039|1093777041|1093777043|1093777045|1093777047|1093777049|1093777051|1093777053|1093777055,为初学儿童学生选择课程教材,教学与课程内容 > 教学材料与实施 > 教材与材料选择
A,S1000-0002,STI-a797f84d64243e209232,accepted,agree,围绕成员关系与称呼的玩笑互动,群成员以李锦墨、沈歆妍及彼此关系为素材，玩笑讨论喜欢、吃醋、假想敌和三人小团体。,人际关系与社交,社交活动与日常互动,轻松闲聊与玩笑,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑,standard,37,0.37,37,1091445563|1091445565|1091445567|1091445579|1091445587|1091445595|1091445603|1091445607|1091445613|1091445619|1091445623|1091445625|1091445633|1091445635|1091445637|1091445643|1091445647|1091445649|1091445657|1091445663|1091445665|1091445667|1091445669|1091445679|1091445681|1091445691|1091445693|1091445701|1091445709|1091445713|1091445715|1091445727|1091445729|1091445735|1091445737|1091445743|1091445745,围绕成员关系与称呼的玩笑互动,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑
A,S1000-0003,STI-5ffc2d6b58f62894a06a,corrected,problem,以家庭角色设定进行玩笑互动并邀请新成员,成员以母亲、孩子、保姆、双胞胎和单亲家庭等角色相互玩笑，并讨论邀请新成员加入群聊。,人际关系与社交,社交活动与日常互动,轻松闲聊与玩笑,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑,standard,49,0.49,49,1089103223|1089103229|1089103233|1089103249|1089103253|1089103255|1089103257|1089103261|1089103263|1089103269|1089103271|1089103275|1089103277|1089103301|1089103303|1089103305|1089103307|1089103311|1089103313|1089103315|1089103321|1089103323|1089103327|1089103329|1089103331|1089103335|1089103337|1089103339|1089103343|1089103347|1089103349|1089103351|1089103353|1089103359|1089103361|1089103363|1089103369|1089103371|1089103373|1089103375|1089103379|1089103381|1089103383|1089103385|1089103387|1089103399|1089103403|1089103405|1089103409,以家庭角色设定进行玩笑互动并邀请新成员,娱乐与创作 > 创作与角色文化 > 角色扮演与虚构互动
A,S1000-0004,STI-090cd6923b16b236f59b,accepted,agree,纪念视频剪辑与配乐选择,两人讨论制作纪念视频和光遇相关剪辑，包括剪辑思路、歌曲是否带歌词、纯音乐截取及候选配乐。,娱乐与创作,创作与角色文化,音视频创作,娱乐与创作 > 创作与角色文化 > 音视频创作,standard,32,0.32,32,1081728745|1081728753|1081728755|1081728757|1081728759|1081728763|1081728767|1081728771|1081728773|1081728775|1081728777|1081728783|1081728797|1081728805|1081728809|1081728811|1081728819|1081728821|1081728825|1081728827|1081728829|1081728831|1081728837|1081728841|1081728843|1081728849|1081728853|1081728855|1081728857|1081728859|1081728861|1081728863,纪念视频剪辑与配乐选择,娱乐与创作 > 创作与角色文化 > 音视频创作
A,S1000-0004,STI-30393de6cacc72a96258,accepted,agree,快闪活动探路与贵州出行,刘雨昕称将参加快闪活动并请对方探路，双方讨论活动中的魔法展示；她还提到次日前往贵州。,人际关系与社交,社交活动与日常互动,社交活动与见面,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面,standard,8,0.08,8,1079675095|1079675099|1079675103|1079675107|1079675111|1079675115|1079675117|1079675119,快闪活动探路与贵州出行,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面
A,S1000-0004,STI-7c5694d08793742dbad4,accepted,agree,9月生日直播与微博使用安排,两人讨论9月29日生日可能直播，以及届时微博账号能否使用。,人际关系与社交,社交活动与日常互动,社交活动与见面,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面,standard,6,0.06,6,1081728731|1081728737|1081728739|1081728743|1081728747|1081728751,9月生日直播与微博使用安排,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面
A,S1000-0004,STI-7ee1e6b337f2b9d71685,accepted,agree,补作业与英语听说作业截止时间,两人交流正在补作业，其中提及12小时截止时间和英语听说作业。,学习与学业内容,学习任务与评价,作业与练习,学习与学业内容 > 学习任务与评价 > 作业与练习,standard,8,0.08,8,1081728705|1081728707|1081728709|1081728711|1081728717|1081728719|1081728721|1081728725,补作业与英语听说作业截止时间,学习与学业内容 > 学习任务与评价 > 作业与练习
