taxonomy_version,level,node_id,node_name,node_type,is_terminal,evidence_status,path_ids,path_names,path
classin-im-semantic-taxonomy-v2.1-candidate,1,L1-001,学习与学业内容,domain,false,evidence_backed_candidate,L1-001,学习与学业内容,学习与学业内容
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-001,学科、技能与研究学习,group,false,evidence_backed_candidate,L1-001 > L2-001,学习与学业内容 > 学科、技能与研究学习,学习与学业内容 > 学科、技能与研究学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-001,英语语言学习,terminal,true,evidence_backed_candidate,L1-001 > L2-001 > L3-001,学习与学业内容 > 学科、技能与研究学习 > 英语语言学习,学习与学业内容 > 学科、技能与研究学习 > 英语语言学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-002,语文与中文学习,terminal,true,provisional_low_or_unvalidated,L1-001 > L2-001 > L3-002,学习与学业内容 > 学科、技能与研究学习 > 语文与中文学习,学习与学业内容 > 学科、技能与研究学习 > 语文与中文学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-003,数学学习,terminal,true,provisional_low_or_unvalidated,L1-001 > L2-001 > L3-003,学习与学业内容 > 学科、技能与研究学习 > 数学学习,学习与学业内容 > 学科、技能与研究学习 > 数学学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-004,自然科学与工程学习,terminal,true,provisional_low_or_unvalidated,L1-001 > L2-001 > L3-004,学习与学业内容 > 学科、技能与研究学习 > 自然科学与工程学习,学习与学业内容 > 学科、技能与研究学习 > 自然科学与工程学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-005,编程与计算学习,terminal,true,provisional_low_or_unvalidated,L1-001 > L2-001 > L3-005,学习与学业内容 > 学科、技能与研究学习 > 编程与计算学习,学习与学业内容 > 学科、技能与研究学习 > 编程与计算学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-006,艺术技能学习,terminal,true,provisional_low_or_unvalidated,L1-001 > L2-001 > L3-006,学习与学业内容 > 学科、技能与研究学习 > 艺术技能学习,学习与学业内容 > 学科、技能与研究学习 > 艺术技能学习
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-071,研究方法与学术项目学习,terminal,true,evidence_backed_candidate,L1-001 > L2-001 > L3-071,学习与学业内容 > 学科、技能与研究学习 > 研究方法与学术项目学习,学习与学业内容 > 学科、技能与研究学习 > 研究方法与学术项目学习
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-041,学习任务、计划与评价,group,false,evidence_backed_candidate,L1-001 > L2-041,学习与学业内容 > 学习任务、计划与评价,学习与学业内容 > 学习任务、计划与评价
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-007,作业布置、完成与订正,terminal,true,evidence_backed_candidate,L1-001 > L2-041 > L3-007,学习与学业内容 > 学习任务、计划与评价 > 作业布置、完成与订正,学习与学业内容 > 学习任务、计划与评价 > 作业布置、完成与订正
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-009,学习计划、复习与备考,terminal,true,evidence_backed_candidate,L1-001 > L2-041 > L3-009,学习与学业内容 > 学习任务、计划与评价 > 学习计划、复习与备考,学习与学业内容 > 学习任务、计划与评价 > 学习计划、复习与备考
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-072,正式测评、考试与成绩,terminal,true,human_confirmed_direction,L1-001 > L2-041 > L3-072,学习与学业内容 > 学习任务、计划与评价 > 正式测评、考试与成绩,学习与学业内容 > 学习任务、计划与评价 > 正式测评、考试与成绩
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-010,日常学习表现与反馈,terminal,true,human_confirmed_direction,L1-001 > L2-041 > L3-010,学习与学业内容 > 学习任务、计划与评价 > 日常学习表现与反馈,学习与学业内容 > 学习任务、计划与评价 > 日常学习表现与反馈
classin-im-semantic-taxonomy-v2.1-candidate,1,L1-002,教学设计、实施与改进,domain,false,evidence_backed_candidate,L1-002,教学设计、实施与改进,教学设计、实施与改进
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-023,教学内容与资源,group,false,evidence_backed_candidate,L1-002 > L2-023,教学设计、实施与改进 > 教学内容与资源,教学设计、实施与改进 > 教学内容与资源
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-073,教材、教学资料与课件,terminal,true,human_confirmed_direction,L1-002 > L2-023 > L3-073,教学设计、实施与改进 > 教学内容与资源 > 教材、教学资料与课件,教学设计、实施与改进 > 教学内容与资源 > 教材、教学资料与课件
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-012,教学内容与课程进度,terminal,true,evidence_backed_candidate,L1-002 > L2-023 > L3-012,教学设计、实施与改进 > 教学内容与资源 > 教学内容与课程进度,教学设计、实施与改进 > 教学内容与资源 > 教学内容与课程进度
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-042,教学实施、评价与记录,group,false,evidence_backed_candidate,L1-002 > L2-042,教学设计、实施与改进 > 教学实施、评价与记录,教学设计、实施与改进 > 教学实施、评价与记录
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-014,教学方法与课堂活动设计,terminal,true,evidence_backed_candidate,L1-002 > L2-042 > L3-014,教学设计、实施与改进 > 教学实施、评价与记录 > 教学方法与课堂活动设计,教学设计、实施与改进 > 教学实施、评价与记录 > 教学方法与课堂活动设计
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-074,课堂互动规范与参与要求,terminal,true,provisional_low_or_unvalidated,L1-002 > L2-042 > L3-074,教学设计、实施与改进 > 教学实施、评价与记录 > 课堂互动规范与参与要求,教学设计、实施与改进 > 教学实施、评价与记录 > 课堂互动规范与参与要求
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-015,教学质量评价与改进,terminal,true,evidence_backed_candidate,L1-002 > L2-042 > L3-015,教学设计、实施与改进 > 教学实施、评价与记录 > 教学质量评价与改进,教学设计、实施与改进 > 教学实施、评价与记录 > 教学质量评价与改进
classin-im-semantic-taxonomy-v2.1-candidate,1,L1-003,课程运营与服务,domain,false,evidence_backed_candidate,L1-003,课程运营与服务,课程运营与服务
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-025,课程排期与变更,group,false,evidence_backed_candidate,L1-003 > L2-025,课程运营与服务 > 课程排期与变更,课程运营与服务 > 课程排期与变更
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-018,可用时段与排班,terminal,true,evidence_backed_candidate,L1-003 > L2-025 > L3-018,课程运营与服务 > 课程排期与变更 > 可用时段与排班,课程运营与服务 > 课程排期与变更 > 可用时段与排班
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-075,课程预约与固定排课,terminal,true,provisional_low_or_unvalidated,L1-003 > L2-025 > L3-075,课程运营与服务 > 课程排期与变更 > 课程预约与固定排课,课程运营与服务 > 课程排期与变更 > 课程预约与固定排课
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-017,课程改期、取消与补课,terminal,true,evidence_backed_candidate,L1-003 > L2-025 > L3-017,课程运营与服务 > 课程排期与变更 > 课程改期、取消与补课,课程运营与服务 > 课程排期与变更 > 课程改期、取消与补课
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-026,到课与课堂运行,group,false,evidence_backed_candidate,L1-003 > L2-026,课程运营与服务 > 到课与课堂运行,课程运营与服务 > 到课与课堂运行
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-019,到课、请假与缺勤处置,terminal,true,human_confirmed_direction,L1-003 > L2-026 > L3-019,课程运营与服务 > 到课与课堂运行 > 到课、请假与缺勤处置,课程运营与服务 > 到课与课堂运行 > 到课、请假与缺勤处置
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-024,教室与课堂接入,terminal,true,evidence_backed_candidate,L1-003 > L2-026 > L3-024,课程运营与服务 > 到课与课堂运行 > 教室与课堂接入,课程运营与服务 > 到课与课堂运行 > 教室与课堂接入
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-043,学员承接、服务与权益,group,false,evidence_backed_candidate,L1-003 > L2-043,课程运营与服务 > 学员承接、服务与权益,课程运营与服务 > 学员承接、服务与权益
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-076,试听、首课与学员承接,terminal,true,human_confirmed_direction,L1-003 > L2-043 > L3-076,课程运营与服务 > 学员承接、服务与权益 > 试听、首课与学员承接,课程运营与服务 > 学员承接、服务与权益 > 试听、首课与学员承接
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-077,服务评价、投诉与口碑跟进,terminal,true,provisional_low_or_unvalidated,L1-003 > L2-043 > L3-077,课程运营与服务 > 学员承接、服务与权益 > 服务评价、投诉与口碑跟进,课程运营与服务 > 学员承接、服务与权益 > 服务评价、投诉与口碑跟进
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-078,学员课程权益、费用与退款,terminal,true,human_confirmed_direction,L1-003 > L2-043 > L3-078,课程运营与服务 > 学员承接、服务与权益 > 学员课程权益、费用与退款,课程运营与服务 > 学员承接、服务与权益 > 学员课程权益、费用与退款
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-044,教师合作、规范与结算,group,false,evidence_backed_candidate,L1-003 > L2-044,课程运营与服务 > 教师合作、规范与结算,课程运营与服务 > 教师合作、规范与结算
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-080,教师招聘、入职与资料,terminal,true,evidence_backed_candidate,L1-003 > L2-044 > L3-080,课程运营与服务 > 教师合作、规范与结算 > 教师招聘、入职与资料,课程运营与服务 > 教师合作、规范与结算 > 教师招聘、入职与资料
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-081,教师工作规范、考核与人员处置,terminal,true,evidence_backed_candidate,L1-003 > L2-044 > L3-081,课程运营与服务 > 教师合作、规范与结算 > 教师工作规范、考核与人员处置,课程运营与服务 > 教师合作、规范与结算 > 教师工作规范、考核与人员处置
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-079,教师课酬、薪资与奖励,terminal,true,human_confirmed_direction,L1-003 > L2-044 > L3-079,课程运营与服务 > 教师合作、规范与结算 > 教师课酬、薪资与奖励,课程运营与服务 > 教师合作、规范与结算 > 教师课酬、薪资与奖励
classin-im-semantic-taxonomy-v2.1-candidate,1,L1-004,数字平台与技术,domain,false,evidence_backed_candidate,L1-004,数字平台与技术,数字平台与技术
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-008,账号、联系人与群组空间,group,false,evidence_backed_candidate,L1-004 > L2-008,数字平台与技术 > 账号、联系人与群组空间,数字平台与技术 > 账号、联系人与群组空间
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-026,账号认证与资料设置,terminal,true,evidence_backed_candidate,L1-004 > L2-008 > L3-026,数字平台与技术 > 账号、联系人与群组空间 > 账号认证与资料设置,数字平台与技术 > 账号、联系人与群组空间 > 账号认证与资料设置
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-082,联系人与通讯功能,terminal,true,evidence_backed_candidate,L1-004 > L2-008 > L3-082,数字平台与技术 > 账号、联系人与群组空间 > 联系人与通讯功能,数字平台与技术 > 账号、联系人与群组空间 > 联系人与通讯功能
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-027,群组空间与成员治理,terminal,true,evidence_backed_candidate,L1-004 > L2-008 > L3-027,数字平台与技术 > 账号、联系人与群组空间 > 群组空间与成员治理,数字平台与技术 > 账号、联系人与群组空间 > 群组空间与成员治理
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-045,设备、应用与数字操作,group,false,evidence_backed_candidate,L1-004 > L2-045,数字平台与技术 > 设备、应用与数字操作,数字平台与技术 > 设备、应用与数字操作
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-029,连接、设备与应用故障,terminal,true,evidence_backed_candidate,L1-004 > L2-045 > L3-029,数字平台与技术 > 设备、应用与数字操作 > 连接、设备与应用故障,数字平台与技术 > 设备、应用与数字操作 > 连接、设备与应用故障
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-030,设备与应用配置,terminal,true,evidence_backed_candidate,L1-004 > L2-045 > L3-030,数字平台与技术 > 设备、应用与数字操作 > 设备与应用配置,数字平台与技术 > 设备、应用与数字操作 > 设备与应用配置
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-032,在线课堂与协作工具,terminal,true,evidence_backed_candidate,L1-004 > L2-045 > L3-032,数字平台与技术 > 设备、应用与数字操作 > 在线课堂与协作工具,数字平台与技术 > 设备、应用与数字操作 > 在线课堂与协作工具
classin-im-semantic-taxonomy-v2.1-candidate,3,L3-033,文件与媒体操作,terminal,true,provisional_low_or_unvalidated,L1-004 > L2-045 > L3-033,数字平台与技术 > 设备、应用与数字操作 > 文件与媒体操作,数字平台与技术 > 设备、应用与数字操作 > 文件与媒体操作
classin-im-semantic-taxonomy-v2.1-candidate,1,L1-005,人际关系与社交,domain,false,evidence_backed_candidate,L1-005,人际关系与社交,人际关系与社交
classin-im-semantic-taxonomy-v2.1-candidate,2,L2-011,关系与相处,group,false,evidence_backed_candidate,L1-005 > L2-011,人际关系与社交 > 关系与相处,人际关系与社交 > 关系与相处
