baseline_version,source_scope,old_path_names,old_terminal_name,ab_topic_count,ab_example_topic_instance_ids,ab_example_topic_names,successor_mode,default_target_terminal_node_id,default_target_path_names,allowed_neighbor_terminal_node_ids,empty_path_action,post_route_comparison,notes
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 人际关系与身份 > 个人与同伴信息,个人与同伴信息,1,STI-6e9a0fb4b88392be6407,MBTI人格类型与测试,boundary_review,L2-046,人际关系与社交 > 个人身份、特征与自我认知,L3-035|L3-036,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,旧范围混合个人身份与他人信息；按谈论对象复核。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 人际关系与身份 > 同伴关系与互动,同伴关系与互动,4,STI-c9c5619ddfe11d588df4|STI-b937ea55022b4e1e1131|STI-bc89a0ab5359e7adf080,补课班课程与学生情况 || 同学社交与沟通方式讨论 || 转述同学与家长的争吵,exact,L3-035,人际关系与社交 > 关系与相处 > 朋友同学关系与相处,L3-038|L3-039,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,关系与相处语义连续；共同活动或社群参与另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 人际关系与身份 > 家庭与亲属关系,家庭与亲属关系,2,STI-dc0d93e956b640bbc914|STI-c91485746ec7c5f3ab33,家庭关系与提升独立生活能力 || 与父母沟通中的否定与学习催促,exact,L3-036,人际关系与社交 > 关系与相处 > 家庭与亲属关系,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,家庭与亲属关系语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 人际关系与身份 > 恋爱与亲密关系,恋爱与亲密关系,6,STI-f180c44763a4dadea82d|STI-9cdf04a7104ff64448e4|STI-ac9bcecfed7c62f32607,虚拟平台好友引发的关系误会 || 恋爱对象介绍与同伴调侃 || 熟人分手消息讨论,exact,L3-034,人际关系与社交 > 关系与相处 > 恋爱与亲密关系,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,恋爱与亲密关系语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面,社交活动与见面,8,STI-30393de6cacc72a96258|STI-7c5694d08793742dbad4|STI-ad296d253ba65b3e2979,快闪活动探路与贵州出行 || 9月生日直播与微博使用安排 || 语音通话约定出去吃饭、游玩时间,exact,L3-038,人际关系与社交 > 社交活动、日常交流与社群参与 > 见面、聚会与交流安排,L3-039,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,见面、聚会和交流安排语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 社交活动与日常互动 > 社群互动与成员交流,社群互动与成员交流,3,STI-b0f6108e09c67e651c5f|STI-a90fd63334cabeadae40|STI-af40f90ed6ad6a0167a1,小说圈扩列、建群与私信联系 || 周末直播与文章群参与安排 || 新群成员与社团来源,boundary_review,L3-039,人际关系与社交 > 社交活动、日常交流与社群参与 > 社群参与与成员交流,L3-027|L3-038,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,社群参与与数字群治理、具体见面安排需按主要事项区分。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑,轻松闲聊与玩笑,5,STI-a797f84d64243e209232|STI-5ffc2d6b58f62894a06a|STI-adbcb1fb3a04476cdfff,围绕成员关系与称呼的玩笑互动 || 以家庭角色设定进行玩笑互动并邀请新成员 || 误读文字引发的玩笑,boundary_review,,,L3-100|L3-040|L2-047,,任何已分配终点→remap且强制复核；不清/无位→对应状态,旧节点混合寒暄、关系维系、玩笑和具体生活内容，无唯一继承终点。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 创作与角色文化 > 收藏与形象物品,收藏与形象物品,1,STI-59400074ea146030fffc,奥特曼卡片与手办收藏,exact,L3-049,娱乐与创作 > 娱乐内容、游玩与兴趣收藏 > 兴趣周边与收藏,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,兴趣周边与收藏语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 创作与角色文化 > 文字与角色创作,文字与角色创作,6,STI-8d83cdef86b1586079be|STI-11d73d57136b4062e8d9|STI-e3a256eb4ae9173ca2d5,语文和英语课代表的创作分工讨论 || 鬼灭之刃同人偏好、配对和创作交流 || 洛央、绘里、㲽海与谨年的角色故事创作,merge,L3-046,娱乐与创作 > 内容创作与虚构互动 > 故事、角色设定与虚构互动,L3-040,,blind_target=default→direct_fit/rename_merge；否则→remap/semantic_move,与旧角色扮演节点合并；仅语言玩笑应分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 创作与角色文化 > 视觉与手作创作,视觉与手作创作,1,STI-0a9ff5fb82fbeb4bd9ec,毛笔与书写用品,exact,L3-045,娱乐与创作 > 内容创作与虚构互动 > 视觉艺术与手作创作,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,视觉艺术与手作创作语义连续。
